"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"130",130,"Census Tract 9.02",0,0,0,13.8,0.45287153652393,163750,179167,179167,185500,162548,904200,928000,928000,962600,911700,0.981481481481482,0.950617283950617,0.728395061728395,0.407407407407407,0,0
"131",131,"Census Tract 90",51.8,47.1,47.1,29.6,0.0970510915002322,39653,32287,32287,31740,36047,331100,351600,351600,327800,317200,0.271604938271605,0.339506172839506,0.635802469135803,0.58641975308642,1,0
"132",132,"Census Tract 91.02",8.1,4.1,4.1,4.6,0.0726,32806,31544,31544,35685,23580,298000,287200,287200,283300,293000,0.0679012345679012,0.290123456790123,0.320987654320988,0.234567901234568,1,0
"133",133,"Census Tract 92.01",0,8.8,8.8,5.8,0.128377416073245,44939,41902,41902,50677,43629,282100,288100,288100,293500,271200,0.407407407407407,0.253086419753086,0.783950617283951,0.265432098765432,0,0
"134",134,"Census Tract 92.03",31.3,51.9,51.9,33.9,0.195237936772047,51726,46159,46159,63073,50154,301300,295200,295200,326300,333100,0.481481481481481,0.364197530864198,0.395061728395062,0.635802469135803,0,0
"135",135,"Census Tract 92.04",4.2,0,0,0,0.0667177419354839,28814,31290,31290,24489,28420,243100,241300,241300,236900,331600,0.135802469135802,0.358024691358025,0.0308641975308642,0.0864197530864197,1,0
"136",136,"Census Tract 93.01",6.9,18.4,18.4,31.7,0.198773242630385,72578,75833,75833,78415,74113,408500,409500,409500,424300,405100,0.679012345679012,0.512345679012346,0.697530864197531,0.617283950617284,0,0
"137",137,"Census Tract 93.02",64.4,55.9,55.9,44.6,0.0929848341232227,63958,65700,65700,58424,78929,399000,391600,391600,373300,458200,0.697530864197531,0.623456790123457,0.0617283950617284,0.697530864197531,0,0
"138",138,"Census Tract 94",22.6,27.3,27.3,4,0.20280577269994,70990,69639,69639,69701,71316,397200,380100,380100,384000,392800,0.62962962962963,0.487654320987654,0.376543209876543,0.209876543209877,0,0
"139",139,"Census Tract 95.01",2.7,5.9,5.9,6.5,0.0764510105448155,40536,40528,40528,45144,44583,291300,293300,293300,306100,290200,0.432098765432099,0.277777777777778,0.716049382716049,0.277777777777778,0,0
"140",140,"Census Tract 95.03",11.2,9.1,9.1,0,0.282750759878419,70875,77451,77451,79000,81250,382300,381100,381100,364600,371200,0.722222222222222,0.419753086419753,0.419753086419753,0.0864197530864197,0,0
"141",141,"Census Tract 95.04",8.4,0,0,6.3,0.121783554196398,50500,52095,52095,61875,46758,348500,352200,352200,359600,333100,0.450617283950617,0.364197530864198,0.777777777777778,0.271604938271605,0,0
"142",142,"Census Tract 95.05",14.4,20.9,20.9,13.4,0.205322049835449,62462,66591,66591,63661,60750,354800,356600,356600,330300,337300,0.567901234567901,0.382716049382716,0.388888888888889,0.388888888888889,0,0
"143",143,"Census Tract 95.07",11.5,0,0,0,0.178815691158157,62986,52981,52981,53646,59444,329600,331300,331300,310100,322600,0.561728395061728,0.351851851851852,0.296296296296296,0.0864197530864197,0,0
"144",144,"Census Tract 95.08",12.9,18.8,18.8,41,0.156761363636364,47410,51525,51525,54500,46092,328700,314800,314800,316900,319200,0.444444444444444,0.345679012345679,0.444444444444444,0.679012345679012,0,0
"145",145,"Census Tract 95.09",18.2,27.8,27.8,37.3,0.178264150943396,59286,66341,66341,62432,58000,322500,328700,328700,324700,312400,0.555555555555556,0.320987654320988,0.660493827160494,0.648148148148148,0,0
"146",146,"Census Tract 96.01",0,0,0,18.9,0.134443681318681,40929,45000,45000,26620,22300,321200,253600,253600,302300,316700,0.0555555555555556,0.327160493827161,0.283950617283951,0.45679012345679,1,0
"147",147,"Census Tract 96.02",2.5,5.1,5.1,4.7,0.0376387096774194,24786,25307,25307,21927,23696,216700,226400,226400,260600,228400,0.0740740740740741,0.117283950617284,0.895061728395062,0.246913580246914,1,0
"148",148,"Census Tract 96.03",6.9,6.9,6.9,5.4,0.099094958968347,38404,41898,41898,39268,37371,237800,212100,212100,210400,204900,0.296296296296296,0.0617283950617284,0.604938271604938,0.259259259259259,1,0
